"0_eRNA"	"1_eRNA"	"10_eRNA"	"11_eRNA"	"12_eRNA"	"13_eRNA"	"14_eRNA"	"15_eRNA"	"2_eRNA"	"3_eRNA"	"4_eRNA"	"5_eRNA"	"6_eRNA"	"7_eRNA"	"8_eRNA"	"9_eRNA"
"LOC101165680"	16	0	0	1	996	688	1087	724	21	0	0	0	0	0	1	1
"LOC101165682"	2	3	0	0	1079	1072	990	1175	0	0	0	0	0	0	0	0
"LOC101165683"	528	54	37	67	1407	1176	1338	1690	132	133	6	6	1	1	65	59
"LOC101165686"	0	0	0	0	114	109	53	169	0	0	0	0	0	0	0	1
"LOC101165687"	12	2	0	0	1019	1042	1394	1164	1	0	1	0	2	0	3	1
"LOC101165689"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165690"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165692"	0	0	0	0	27	20	28	40	0	0	0	0	0	0	0	0
"LOC101165695"	2	18	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"LOC101165696"	30	0	0	2	869	666	897	1261	2	4	0	0	0	0	3	4
"LOC101165700"	0	0	0	0	1007	749	998	1026	0	0	0	0	0	0	0	0
"LOC101165707"	0	0	0	0	6	2	0	2	0	0	0	0	0	0	0	0
"LOC101165708"	0	0	0	0	0	8	15	0	0	0	0	0	0	0	0	0
"LOC101165710"	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
"LOC101165713"	0	0	0	0	1530	699	965	1391	0	0	0	0	0	0	2	0
"LOC101165715"	0	0	0	0	81	125	148	175	0	0	1	0	0	0	0	0
"LOC101165718"	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"LOC101165719"	8	0	0	0	15	47	0	53	0	0	0	0	0	0	0	0
"LOC101165720"	0	0	0	0	2	0	0	16	0	0	0	0	0	0	0	0
"LOC101165722"	6	1	0	2	66	65	109	116	0	0	0	0	0	0	4	2
"LOC101165723"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
"LOC101165726"	40	0	7	3	931	830	677	649	6	17	0	0	0	0	6	5
"LOC101165727"	0	0	0	0	6	11	20	10	0	0	0	0	0	0	0	0
"LOC101165729"	0	0	0	0	1900	1986	1610	1388	0	0	0	0	0	0	0	0
"LOC101165730"	13	13	2	0	406	515	450	417	0	5	0	0	0	1	2	4
"LOC101165732"	0	0	0	0	450	433	277	860	0	0	0	1	0	0	3	0
"LOC101165733"	1	0	0	1	185	102	51	164	0	0	0	0	0	0	0	1
"LOC101165734"	0	0	0	0	1	6	13	0	0	1	0	1	0	0	0	1
"LOC101165735"	3	0	0	0	11	3	23	1	0	0	0	0	0	0	0	0
"LOC101165737"	15	14	0	0	0	0	0	0	0	1	0	0	0	0	4	6
"LOC101165738"	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
"LOC101165744"	0	0	0	0	13	1	25	8	0	0	0	0	0	0	0	0
"LOC101165750"	0	0	0	0	0	2	4	5	0	0	0	0	0	0	0	0
"LOC101165751"	25	0	0	5	661	986	943	1169	27	0	2	0	0	2	2	4
"LOC101165752"	0	0	0	0	220	66	81	75	0	0	0	0	0	0	0	0
"LOC101165754"	13	8	1	0	1	0	0	9	1	5	0	0	0	0	0	0
"LOC101165755"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"LOC101165757"	9	0	0	0	502	626	624	514	1	0	0	0	3	0	0	0
"LOC101165759"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165761"	0	0	0	0	43	13	32	6	0	0	0	0	0	0	0	0
"LOC101165762"	3	0	0	0	446	563	589	545	0	0	0	0	0	0	0	0
"LOC101165766"	0	0	0	0	10	8	5	11	0	0	0	0	0	0	0	0
"LOC101165768"	0	0	0	0	135	111	94	135	0	0	0	0	0	0	0	1
"LOC101165774"	0	0	0	0	8	0	12	12	0	0	0	0	0	0	2	0
"LOC101165775"	2	0	0	0	322	673	665	625	3	3	1	0	1	3	3	1
"LOC101165776"	67	26	3	1	10790	10778	11829	10918	3	23	6	5	7	2	6	12
"LOC101165777"	0	0	0	0	19	2	3	38	0	0	0	0	0	0	0	0
"LOC101165782"	0	0	0	0	141	122	234	149	0	0	0	0	0	0	0	0
"LOC101165787"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165788"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"LOC101165789"	12	0	0	1	185	202	157	247	0	0	0	0	0	0	4	0
"LOC101165790"	0	0	0	0	59	61	40	105	0	0	0	0	0	0	0	0
"LOC101165792"	0	0	0	0	18	29	34	13	0	0	0	0	0	0	0	0
"LOC101165795"	30	8	9	4	799	674	400	1312	14	2	2	0	0	0	6	9
"LOC101165797"	5	3	0	0	390	391	421	519	1	0	0	0	0	0	0	0
"LOC101165800"	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165801"	0	0	0	0	21	18	63	23	0	6	0	0	0	0	0	0
"LOC101165802"	0	2	0	0	163	137	41	165	0	0	0	0	0	0	0	0
"LOC101165805"	0	0	0	0	43	33	14	10	0	0	0	0	0	0	0	0
"LOC101165806"	11	5	0	2	32	42	24	25	1	5	0	0	0	0	1	5
"LOC101165809"	1	0	0	1	54	25	33	61	2	7	0	0	0	0	0	0
"LOC101165814"	3	1	0	0	223	189	98	219	2	0	0	0	0	0	0	0
"LOC101165818"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165821"	15	0	4	0	1696	1672	1324	1716	0	11	0	0	0	0	4	0
"LOC101165822"	4	4	2	0	2596	2382	3899	2725	16	4	6	2	7	0	4	2
"LOC101165828"	5	0	0	1	253	214	315	261	3	0	0	0	0	0	0	0
"LOC101165831"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"LOC101165832"	0	0	0	0	37	91	72	111	0	0	0	0	0	0	0	0
"LOC101165834"	65	14	17	11	2074	1333	1299	2623	21	13	0	0	0	0	20	31
"LOC101165837"	0	0	0	0	337	157	220	249	2	0	0	0	0	0	0	0
"LOC101165838"	0	0	0	0	75	65	76	94	0	0	0	0	0	0	0	0
"LOC101165839"	4	0	0	0	6953	5548	5314	7020	3	0	1	0	0	1	0	1
"LOC101165841"	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
"LOC101165842"	5	1	0	0	20	28	26	40	0	0	0	0	0	0	0	0
"LOC101165843"	10	12	1	1	376	326	153	426	0	0	0	0	0	0	0	0
"LOC101165845"	0	0	0	0	2	9	4	1	0	0	0	0	0	0	0	0
"LOC101165847"	0	0	1	1	522	635	844	747	0	3	0	0	0	0	0	0
"LOC101165848"	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
"LOC101165850"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165857"	0	0	0	0	480	468	295	476	0	0	0	0	0	8	0	0
"LOC101165863"	1	0	0	0	581	414	149	707	0	0	0	0	0	0	0	1
"LOC101165865"	6	0	1	2	325	232	321	510	0	0	0	0	0	0	2	0
"LOC101165867"	19	0	0	0	301	269	330	388	6	7	0	0	0	0	0	0
"LOC101165868"	2	0	0	0	302	345	370	572	5	0	0	0	0	0	0	2
"LOC101165870"	1	0	2	0	59	91	73	105	2	0	0	0	0	0	1	0
"LOC101165876"	0	0	0	0	83	56	67	91	0	0	0	0	0	0	0	0
"LOC101165877"	132	23	20	14	5431	5889	4192	7667	95	44	0	1	0	0	39	35
"LOC101165878"	104	11	8	3	2851	892	1210	1383	23	10	1	2	0	0	2	9
"LOC101165879"	0	0	0	0	363	342	440	340	0	0	0	0	0	0	0	0
"LOC101165880"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165884"	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0
"LOC101165886"	0	0	0	0	7	1	0	9	0	0	0	0	0	0	0	0
"LOC101165887"	28	0	0	1	434	507	293	877	6	10	1	0	0	2	3	1
"LOC101165888"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165889"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165891"	0	0	0	0	106	102	126	183	0	0	0	0	0	0	0	0
"LOC101165892"	2	2	0	2	1538	1507	2068	1797	0	9	0	0	0	0	2	2
"LOC101165896"	7	0	0	0	416	305	436	345	0	0	2	0	0	0	0	0
"LOC101165899"	11	3	0	1	246	129	217	215	0	0	2	0	0	0	0	0
"LOC101165904"	0	0	0	0	263	307	365	505	0	0	0	0	0	0	1	0
"LOC101165905"	1	0	0	0	219	281	297	299	0	3	0	0	0	0	0	0
"LOC101165906"	0	0	0	0	6	10	5	7	0	0	0	0	0	0	0	0
"LOC101165907"	0	0	0	0	43	11	1	53	0	0	0	0	0	0	0	0
"LOC101165910"	0	6	0	1	51	45	72	122	0	1	0	0	0	0	0	0
"LOC101165911"	32	3	1	0	2963	2948	4234	3477	0	12	2	0	2	2	1	5
"LOC101165913"	0	0	0	0	11	4	0	46	0	0	0	0	0	0	0	0
"LOC101165914"	0	0	0	0	15	1	0	8	0	0	0	0	0	0	0	0
"LOC101165915"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165916"	86	14	4	26	8656	7729	9569	11857	52	52	4	13	12	8	7	32
"LOC101165917"	1	0	0	0	1877	2337	1844	1980	0	0	0	1	0	0	0	0
"LOC101165918"	0	0	0	0	7	4	20	2	0	0	0	0	0	0	0	0
"LOC101165919"	0	0	0	0	74	85	36	110	0	0	0	0	0	0	0	0
"LOC101165922"	0	0	0	0	15	14	0	15	2	0	0	0	0	0	0	0
"LOC101165924"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165925"	2	0	0	0	142	230	112	126	0	2	0	0	0	0	0	0
"LOC101165930"	27	0	8	0	761	732	1269	861	0	5	0	0	1	0	4	2
"LOC101165932"	59	0	10	0	118	120	94	98	3	2	0	0	0	0	3	4
"LOC101165934"	10	0	0	0	172	169	131	257	0	0	0	0	0	2	0	0
"LOC101165936"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165942"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165944"	0	0	0	0	165	141	100	164	0	0	0	0	0	0	0	0
"LOC101165945"	0	0	0	0	6	4	4	11	0	0	0	0	0	0	0	0
"LOC101165946"	0	0	0	0	0	0	2	3	0	1	0	0	0	0	0	0
"LOC101165947"	4	0	0	0	119	31	66	81	0	0	0	0	0	0	2	2
"LOC101165948"	3	0	0	1	30	27	30	35	0	0	0	0	0	0	0	0
"LOC101165952"	0	0	0	0	2218	1626	1823	3123	0	0	0	0	0	0	0	0
"LOC101165954"	50	7	0	5	926	615	627	1084	18	16	0	0	0	0	5	6
"LOC101165956"	0	0	0	0	0	0	20	2	0	0	0	0	0	0	0	0
"LOC101165957"	0	0	0	0	535	425	242	528	0	0	0	0	0	0	0	0
"LOC101165960"	2	0	0	0	81	64	122	89	0	0	0	0	1	0	0	1
"LOC101165968"	2	0	2	0	0	3	5	4	0	2	0	0	0	0	0	0
"LOC101165969"	4	1	0	2	290	61	104	162	0	1	0	0	0	0	0	3
"LOC101165970"	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
"LOC101165972"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"LOC101165973"	0	0	0	0	657	612	609	680	0	1	0	3	0	0	0	0
"LOC101165974"	0	0	0	4	43	44	55	48	0	3	0	0	0	0	0	0
"LOC101165977"	12	3	0	0	499	856	1071	957	2	0	0	0	2	2	2	3
"LOC101165978"	0	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0
"LOC101165981"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"LOC101165986"	272	29	23	13	2376	2051	1999	2790	93	68	0	5	2	1	53	49
"LOC101165988"	13	0	6	2	1135	1075	1409	1211	15	6	0	0	0	2	6	4
"LOC101165990"	4	0	0	0	635	543	538	958	0	0	0	0	0	0	2	0
"LOC101165992"	6	0	0	0	0	0	0	7	0	2	0	0	0	0	0	5
"LOC101165994"	0	0	0	0	8	9	2	11	0	0	0	0	0	0	0	0
"LOC101165995"	10	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
"LOC101165996"	0	0	0	0	1	12	28	2	0	0	0	0	0	0	0	0
"LOC101165997"	2	1	0	0	853	1113	1625	1153	0	0	0	0	0	0	0	0
"LOC101165998"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101165999"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166001"	14	0	0	0	169	154	158	237	5	1	0	0	0	0	3	1
"LOC101166002"	0	0	0	0	29	39	33	30	0	0	0	0	0	0	0	0
"LOC101166003"	0	0	1	0	30	10	27	13	0	4	0	0	0	0	0	0
"LOC101166004"	3	0	0	0	109	160	195	138	0	2	0	0	0	0	3	1
"LOC101166005"	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
"LOC101166007"	59	5	4	16	649	576	335	943	61	1	0	0	0	0	5	5
"LOC101166008"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"LOC101166009"	24	1	3	2	126	107	82	190	3	1	0	0	0	1	1	0
"LOC101166010"	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0
"LOC101166011"	0	0	0	0	98	81	39	30	0	1	0	0	0	0	0	0
"LOC101166017"	0	0	0	0	325	307	309	289	1	0	0	0	0	0	0	0
"LOC101166021"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166024"	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
"LOC101166026"	0	0	0	0	12	0	13	0	0	0	0	0	0	0	0	0
"LOC101166028"	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0
"LOC101166031"	0	0	0	0	85	38	48	116	0	0	0	0	0	0	0	0
"LOC101166034"	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
"LOC101166035"	1	0	0	0	38	30	47	91	0	0	0	0	0	0	0	0
"LOC101166036"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166040"	0	0	0	0	376	285	130	366	0	0	0	0	0	0	0	0
"LOC101166041"	2	0	0	0	16	22	55	28	0	0	0	0	0	0	0	1
"LOC101166045"	5	0	0	0	551	674	731	662	2	0	0	0	0	0	0	0
"LOC101166047"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"LOC101166050"	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
"LOC101166052"	0	0	0	0	12	9	0	4	0	0	0	0	0	0	0	0
"LOC101166053"	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0
"LOC101166056"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166057"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166058"	0	0	0	0	30	13	20	9	0	0	0	0	1	0	0	0
"LOC101166060"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166061"	1	0	0	1	271	407	406	290	1	1	2	0	0	0	1	0
"LOC101166063"	1	0	0	0	1309	1113	1586	1239	0	4	0	0	0	0	1	0
"LOC101166066"	64	0	0	1	918	1127	909	1023	5	7	0	0	0	0	3	6
"LOC101166068"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166070"	108	34	1	6	1568	1839	2090	2003	13	26	3	1	3	3	13	20
"LOC101166072"	0	0	0	0	17	11	7	3	0	0	0	0	0	0	0	0
"LOC101166075"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166076"	3	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0
"LOC101166083"	2	0	0	1	890	865	1021	1003	5	0	1	1	0	0	0	0
"LOC101166084"	0	0	0	0	21	19	21	13	0	0	0	0	0	0	0	0
"LOC101166086"	77	6	0	8	2377	786	764	1391	10	11	0	0	0	0	8	11
"LOC101166088"	15	6	3	1	606	516	524	653	11	0	0	0	0	0	2	1
"LOC101166093"	0	0	0	0	16	0	1	6	0	0	0	0	0	0	0	0
"LOC101166100"	0	0	0	5	838	484	850	1290	0	0	0	0	0	0	0	0
"LOC101166101"	27	4	0	4	255	311	348	368	5	26	1	3	0	0	7	6
"LOC101166104"	0	0	0	0	70	78	43	104	0	0	0	0	0	0	0	0
"LOC101166111"	5	1	0	1	304	304	488	420	4	7	0	1	1	0	4	2
"LOC101166114"	0	0	0	0	235	217	182	221	0	0	0	0	0	0	0	0
"LOC101166116"	5	0	0	0	424	388	267	653	0	0	0	0	0	0	0	1
"LOC101166118"	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0
"LOC101166121"	0	0	0	0	33	50	24	14	0	0	0	0	0	0	0	0
"LOC101166122"	0	0	0	0	694	927	1157	559	0	0	0	0	0	0	0	0
"LOC101166126"	0	0	0	0	152	125	157	131	0	0	0	0	0	0	0	0
"LOC101166127"	0	1	0	0	5	5	2	1	0	0	0	0	0	0	0	0
"LOC101166131"	0	0	0	0	456	654	752	916	0	0	0	0	0	0	0	0
"LOC101166133"	0	0	0	0	366	262	388	411	0	0	0	0	0	0	0	0
"LOC101166135"	40	0	0	3	987	670	525	855	2	8	0	0	0	0	3	7
"LOC101166136"	1	0	0	0	298	439	237	344	0	0	0	0	0	0	2	0
"LOC101166137"	1	0	0	0	1055	1479	1647	947	0	0	0	0	0	0	0	0
"LOC101166139"	0	0	0	0	3	11	18	2	0	0	0	0	0	0	0	0
"LOC101166140"	0	0	0	0	343	383	376	597	0	0	0	0	0	0	0	2
"LOC101166141"	4	0	0	0	50	69	44	32	0	0	0	0	0	0	0	2
"LOC101166142"	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	0
"LOC101166143"	0	0	0	0	13	2	1	0	0	0	0	0	0	0	0	0
"LOC101166145"	0	0	0	0	15	13	11	5	0	0	0	0	0	0	0	0
"LOC101166146"	0	0	3	2	596	462	675	622	3	0	0	0	0	0	1	3
"LOC101166148"	183	19	14	9	2655	2570	2532	3463	9	36	1	3	0	2	25	28
"LOC101166150"	1	0	0	0	0	2	0	7	0	0	0	0	0	0	1	0
"LOC101166151"	141	66	10	7	3066	2745	3198	2910	41	40	1	1	2	0	19	24
"LOC101166152"	0	0	0	0	1771	1735	2400	1801	0	0	0	0	2	0	0	0
"LOC101166153"	2	1	0	1	983	795	1024	1155	0	0	0	2	0	0	1	2
"LOC101166154"	11	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"LOC101166156"	6	6	1	3	150	124	162	203	16	0	0	0	0	0	0	2
"LOC101166157"	0	0	0	0	1128	1148	1398	937	0	2	0	0	0	0	2	0
"LOC101166161"	0	0	0	0	15	21	0	22	0	0	0	0	0	0	0	0
"LOC101166162"	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
"LOC101166164"	0	0	0	0	10	35	30	28	0	0	0	0	0	0	0	0
"LOC101166166"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166167"	6	0	0	0	694	1060	906	958	0	0	0	0	0	0	0	0
"LOC101166168"	1	0	0	0	417	338	340	450	0	0	0	0	4	0	2	0
"LOC101166169"	13	5	2	2	245	281	295	267	6	5	0	0	0	0	5	0
"LOC101166170"	97	4	5	10	342	272	350	498	17	13	1	2	1	4	9	9
"LOC101166173"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"LOC101166175"	16	1	0	2	2103	1855	1239	1748	0	5	0	0	2	0	1	1
"LOC101166176"	0	0	0	0	9	29	36	8	0	0	0	0	0	0	0	0
"LOC101166178"	19	0	0	1	558	367	343	611	6	1	0	0	0	0	2	6
"LOC101166180"	0	0	0	0	153	85	168	169	0	0	0	0	0	0	0	4
"LOC101166182"	0	0	0	0	5	19	24	6	0	0	0	0	0	0	0	0
"LOC101166183"	0	0	0	0	77	60	142	100	0	0	0	0	0	0	0	0
"LOC101166191"	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
"LOC101166194"	0	0	0	0	0	10	9	2	0	0	0	0	0	0	0	0
"LOC101166196"	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
"LOC101166202"	0	0	0	0	552	444	531	643	1	2	0	0	0	0	0	0
"LOC101166204"	2	0	0	0	6	15	22	11	0	1	0	0	0	0	0	2
"LOC101166208"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"LOC101166215"	0	0	0	0	77	81	97	119	0	0	0	0	0	0	0	0
"LOC101166216"	68	4	3	12	118	50	51	59	14	30	0	0	0	0	3	2
"LOC101166217"	17	2	4	2	951	801	1046	1416	11	1	1	0	0	0	1	1
"LOC101166218"	1	0	0	0	15	9	0	0	0	0	0	0	0	0	0	0
"LOC101166220"	0	0	0	0	573	295	521	489	0	0	0	0	0	0	0	0
"LOC101166230"	0	0	0	0	213	249	287	328	0	0	0	2	0	0	0	0
"LOC101166233"	0	0	0	0	68	27	129	105	0	0	0	0	0	0	0	0
"LOC101166237"	0	7	0	0	390	491	491	434	0	1	0	0	0	0	0	0
"LOC101166239"	585	285	16	15	19	6	37	7	0	100	6	8	1	3	65	66
"LOC101166241"	4	1	4	1	15	12	1	26	0	0	1	0	0	0	0	1
"LOC101166243"	1	0	0	0	433	457	182	401	0	0	0	0	0	0	0	0
"LOC101166244"	0	0	0	0	40	15	7	27	0	0	0	1	0	0	0	0
"LOC101166248"	29	6	7	9	453	401	287	453	5	0	1	0	0	0	5	2
"LOC101166249"	0	0	0	0	52	34	31	83	0	0	0	0	0	0	0	0
"LOC101166250"	0	0	0	0	230	149	113	299	0	0	0	0	0	0	0	5
"LOC101166253"	0	0	0	0	4	8	23	4	0	0	0	0	0	0	0	0
"LOC101166254"	12	1	0	1	251	254	119	428	0	0	0	0	0	0	0	0
"LOC101166255"	1	0	0	0	5	0	0	4	0	2	0	0	0	0	1	0
"LOC101166257"	5	0	0	0	10	2	0	1	0	0	0	0	0	0	0	0
"LOC101166258"	0	0	0	0	69	34	116	57	0	0	0	0	0	0	1	0
"LOC101166259"	14	0	0	0	1246	1369	699	1763	0	1	0	0	0	0	1	5
"LOC101166261"	1	0	0	0	2215	2277	1944	1819	0	0	0	0	0	0	0	1
"LOC101166267"	0	0	0	0	33	40	42	28	0	0	0	0	0	0	0	0
"LOC101166268"	1	0	0	0	146	143	172	119	0	0	0	0	0	0	0	0
"LOC101166271"	1	0	0	0	999	691	779	924	2	1	0	0	0	0	0	2
"LOC101166278"	1	23	0	0	38	56	37	32	0	0	0	0	0	0	0	0
"LOC101166279"	0	0	0	0	165	92	145	264	0	0	0	0	0	0	0	0
"LOC101166280"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166281"	0	1	0	0	69	61	199	133	0	0	0	0	0	0	0	0
"LOC101166285"	60	24	0	8	1231	950	702	1444	10	2	0	0	0	0	9	13
"LOC101166288"	0	3	0	0	0	0	13	1	0	0	0	0	0	0	0	0
"LOC101166291"	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0
"LOC101166293"	1	2	0	0	0	3	7	10	0	0	0	0	0	0	0	0
"LOC101166298"	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
"LOC101166300"	2	0	0	0	206	126	154	228	0	2	0	0	0	0	1	0
"LOC101166301"	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
"LOC101166302"	0	0	0	0	5	1	5	2	0	0	0	0	0	0	0	0
"LOC101166303"	3	1	0	0	579	529	562	523	0	0	0	0	0	0	0	1
"LOC101166305"	5	0	0	0	3	3	5	2	0	0	0	0	0	0	0	0
"LOC101166309"	20	2	0	2	574	404	541	844	1	23	0	3	0	0	0	6
"LOC101166316"	14	0	0	5	211	259	302	295	12	0	0	0	0	0	1	0
"LOC101166318"	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
"LOC101166321"	0	0	0	0	146	154	171	155	0	0	0	0	0	0	0	0
"LOC101166327"	0	0	0	0	5	0	14	0	0	0	0	0	0	0	0	0
"LOC101166329"	0	0	0	0	68	28	167	60	0	0	0	0	0	0	0	0
"LOC101166330"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166334"	5	17	3	0	891	775	810	915	0	0	0	0	0	0	1	2
"LOC101166336"	0	1	0	0	327	336	671	433	0	0	0	0	0	0	7	0
"LOC101166339"	347	142	10	23	381	182	1052	506	100	106	1	4	10	2	15	80
"LOC101166342"	12	0	0	4	1855	1916	2019	1899	1	3	0	0	0	0	2	1
"LOC101166344"	0	0	0	0	115	72	223	115	0	0	0	0	0	0	0	0
"LOC101166346"	0	0	1	0	86	62	94	63	0	0	0	0	0	0	0	0
"LOC101166347"	1	0	4	0	76	70	51	97	0	0	0	0	0	0	2	0
"LOC101166353"	7	0	0	0	5829	4952	5099	5293	2	8	1	1	1	0	3	1
"LOC101166354"	4	0	3	0	9	24	67	8	0	0	0	0	0	0	0	1
"LOC101166360"	3	1	1	3	1908	1815	1903	2087	6	1	0	0	1	0	1	0
"LOC101166361"	0	0	0	0	35	53	38	54	1	1	0	0	0	0	0	1
"LOC101166362"	38	13	1	1	832	498	711	848	26	23	0	1	0	1	4	3
"LOC101166367"	11	0	0	4	139	168	85	335	20	2	0	0	0	0	0	1
"LOC101166369"	175	29	13	19	938	545	345	665	35	24	0	3	6	2	20	45
"LOC101166373"	14	7	6	7	509	436	246	799	15	1	0	0	0	0	3	8
"LOC101166380"	33	13	3	1	2608	3487	7807	2332	33	19	0	1	0	0	4	11
"LOC101166383"	1	0	0	3	92	125	138	169	0	0	0	0	0	0	0	0
"LOC101166384"	22	8	0	1	418	412	485	479	10	1	0	0	0	0	1	1
"LOC101166386"	0	0	0	0	85	109	92	88	0	0	0	0	0	0	0	0
"LOC101166391"	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
"LOC101166392"	36	0	1	0	9270	6560	6786	6707	3	0	4	0	5	1	6	0
"LOC101166394"	9	4	3	0	681	739	956	688	0	0	0	0	0	0	3	3
"LOC101166397"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166399"	98	55	8	10	2	0	0	0	2	19	22	2	17	3	7	7
"LOC101166401"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166403"	5	2	8	0	976	783	812	1157	4	4	0	0	0	0	7	2
"LOC101166404"	4	2	0	0	4	1	5	6	0	0	0	0	0	0	0	0
"LOC101166409"	9	12	1	2	628	660	370	947	6	0	0	0	0	0	2	0
"LOC101166414"	21	2	14	2	1110	1080	1120	2227	4	3	0	0	5	0	1	2
"LOC101166416"	11	10	0	0	982	1329	1077	1511	0	0	1	0	2	0	1	0
"LOC101166419"	37	2	2	4	781	1122	1186	842	1	5	0	1	0	0	5	8
"LOC101166420"	8	4	0	0	2891	3555	5435	3246	0	2	1	1	7	2	3	7
"LOC101166422"	0	0	0	0	4	5	14	21	0	0	0	0	0	0	0	0
"LOC101166424"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166425"	0	1	0	0	22	18	0	3	0	0	0	0	0	0	0	0
"LOC101166426"	1	0	0	0	477	427	377	433	0	0	0	0	0	0	0	0
"LOC101166428"	8	0	0	0	739	681	543	796	0	18	0	0	0	0	1	4
"LOC101166429"	3	0	0	4	376	408	467	561	10	7	0	0	0	0	3	4
"LOC101166435"	0	0	0	0	23	4	0	15	0	0	0	0	0	0	0	0
"LOC101166438"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101166441"	1	0	0	0	15	46	50	27	0	0	0	0	0	0	0	0
"LOC101166443"	0	0	0	0	160	109	103	140	0	0	0	0	0	0	0	1
"LOC101166445"	1	0	0	0	12	17	39	30	0	0	0	0	0	0	0	0
