"0_eRNA"	"1_eRNA"	"10_eRNA"	"11_eRNA"	"12_eRNA"	"13_eRNA"	"14_eRNA"	"15_eRNA"	"2_eRNA"	"3_eRNA"	"4_eRNA"	"5_eRNA"	"6_eRNA"	"7_eRNA"	"8_eRNA"	"9_eRNA"
"LOC100125500"	0	0	0	0	559	879	345	547	0	0	0	0	0	0	1	0
"LOC100125501"	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
"LOC100125502"	0	0	0	0	15	17	10	16	0	0	0	0	0	0	0	0
"LOC100125505"	12	1	0	0	599	521	650	490	0	0	0	0	2	0	2	5
"LOC100125506"	37	18	2	0	4005	3868	4367	4430	4	6	1	0	2	0	1	4
"LOC100125507"	20	0	0	0	124	72	116	209	1	11	0	0	0	0	2	0
"LOC100125509"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"LOC100125511"	0	0	0	1	1451	1319	886	1751	0	0	0	0	0	0	0	0
"LOC100125512"	0	0	0	0	79	47	44	8	0	0	0	0	0	0	0	0
"LOC100125514"	2	0	0	0	64	77	109	91	0	0	0	0	0	0	0	0
"LOC100125516"	24	1	1	9	943	742	550	760	1	0	0	0	0	3	0	1
"LOC100125517"	42	0	1	4	2756	3343	3697	3745	2	6	2	2	7	1	1	3
"LOC100125518"	3	2	0	0	60	94	188	87	0	0	0	0	0	0	0	0
"LOC100125524"	0	0	0	0	98	48	71	69	0	0	0	0	0	0	0	0
"LOC100125525"	0	0	0	0	159	167	422	200	0	0	0	0	0	0	0	0
"LOC100125526"	0	0	0	0	22	8	12	15	0	0	0	0	0	0	0	0
"LOC100125532"	0	0	0	0	875	1012	677	640	1	0	0	0	0	0	0	1
"LOC100125533"	48	0	0	3	3144	3032	3090	3129	1	20	0	0	1	2	5	6
"LOC100125535"	58	0	0	0	5705	4934	4140	5426	4	1	0	0	4	1	2	5
"LOC100125536"	13	0	0	0	199	241	317	274	0	0	0	0	0	0	0	1
"LOC100125537"	69	20	8	12	1093	1141	1272	1555	11	13	1	2	2	0	12	12
"LOC100144359"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100144362"	134	69	0	4	22	19	51	6	0	13	1	6	1	2	13	20
"LOC100144364"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100144382"	14	0	4	0	254	291	322	455	2	4	0	0	0	0	4	13
"LOC100169838"	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1
"LOC100216002"	4	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0
"LOC100216003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100301585"	50	10	2	4	1641	1252	1098	1878	6	2	0	0	2	0	4	3
"LOC100301586"	14	5	0	0	297	474	632	525	7	10	0	0	0	0	1	1
"LOC100301589"	0	0	0	0	7	6	8	0	0	0	0	0	0	0	0	0
"LOC100301594"	2	0	0	0	913	991	1118	1059	0	0	0	0	0	1	0	0
"LOC100301597"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100301602"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100301608"	0	0	0	0	243	272	302	317	0	0	0	0	0	0	0	0
"LOC100301611"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100301613"	0	0	0	0	52	31	59	47	0	0	0	0	0	0	0	0
"LOC100301622"	100	11	1	11	924	671	671	1006	15	25	2	1	2	7	8	18
"LOC100301624"	102	0	12	9	182	339	501	349	47	52	0	0	1	0	4	25
"LOC100301625"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100301626"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100302438"	0	0	0	0	2583	1523	1068	1791	0	0	0	0	0	0	0	1
"LOC100302444"	54	0	7	3	1675	1534	1315	2066	8	7	3	0	0	2	1	14
"LOC100302451"	0	0	0	0	267	449	199	246	0	0	1	0	0	0	0	0
"LOC100304457"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100304467"	0	0	0	0	409	250	191	450	0	0	0	0	0	0	0	0
"LOC100415783"	1	0	1	1	597	419	604	477	0	3	0	0	0	0	0	4
"LOC100422797"	2	0	0	0	7	0	0	9	0	0	0	0	0	0	0	0
"LOC100529159"	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
"LOC100529176"	17	11	0	3	243669	169410	127657	138498	0	14	0	0	0	0	6	4
"LOC100529177"	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
"LOC100529189"	4	14	0	0	410	253	206	589	0	0	0	2	0	3	0	3
"LOC100529192"	15	4	0	0	2	4	0	0	0	9	1	2	1	0	0	1
"LOC100533497"	0	0	0	0	1	32	65	11	0	0	0	0	0	0	0	0
